Date,NetPnL,TradesOpened
2022-01-20,-60.04,3
2022-01-24,-422.80,7
2022-01-25,-63.75,3
2022-01-26,-119.90,1
2022-01-27,-32.03,2
2022-01-28,483.07,5
2022-01-31,-388.16,2
2022-02-01,669.80,1
2022-02-02,301.95,2
2022-02-03,451.15,2
2022-02-07,-148.89,2
2022-02-09,359.30,1
2022-02-10,-146.98,1
2022-02-14,-661.60,4
2022-02-15,-229.30,4
2022-02-16,-249.71,2
2022-02-17,-59.92,4
2022-02-18,-80.52,3
2022-02-21,123.45,2
2022-02-22,122.10,3
2022-02-23,37.64,1
2022-02-24,1478.60,2
2022-02-25,-154.35,4
2022-02-28,384.42,3
2022-03-01,-60.03,2
2022-03-02,52.65,2
2022-03-03,-228.12,3
2022-03-04,1225.69,6
2022-03-07,-159.89,3
2022-03-08,-164.41,2
2022-03-09,93.63,1
2022-03-10,-198.80,2
2022-03-11,-111.20,1
2022-03-14,-381.12,2
2022-03-15,-374.27,3
2022-03-16,463.86,2
2022-03-17,-413.35,4
2022-03-18,247.33,2
2022-03-21,-45.77,3
2022-03-23,-169.37,1
2022-03-24,-703.70,7
2022-03-25,-193.97,2
2022-03-28,389.46,2
2022-03-29,41.01,4
2022-03-30,65.90,1
2022-03-31,-40.69,3
2022-04-01,-116.50,2
2022-04-04,-119.34,3
2022-04-05,223.31,2
2022-04-06,-80.08,1
2022-04-07,-265.27,2
2022-04-08,351.09,3
2022-04-12,-348.71,2
2022-04-18,-400.81,5
2022-04-19,-95.81,1
2022-04-20,-67.36,1
2022-04-21,-273.96,2
2022-04-22,145.54,4
2022-04-25,-181.30,2
2022-04-27,361.45,6
2022-04-28,-60.80,2
2022-04-29,-450.58,2
2022-05-02,-142.05,3
2022-05-03,-127.77,3
2022-05-04,48.90,6
2022-05-05,-194.09,1
2022-05-06,32.58,1
2022-05-10,-142.61,2
2022-05-11,-543.17,6
2022-05-12,15.57,1
2022-05-13,-121.55,1
2022-05-16,-18.27,2
2022-05-17,352.59,4
2022-05-19,45.24,3
2022-05-20,-1.54,6
2022-05-23,49.08,1
2022-05-24,-357.15,3
2022-05-25,270.04,1
2022-05-26,-495.51,3
2022-05-27,298.45,3
2022-05-30,-84.47,3
2022-05-31,57.04,1
2022-06-01,172.09,2
2022-06-02,696.66,4
2022-06-06,-0.87,2
2022-06-07,-70.30,3
2022-06-08,5.36,3
2022-06-09,449.22,2
2022-06-10,-193.01,1
2022-06-13,811.40,4
2022-06-14,1651.27,3
2022-06-15,-196.17,4
2022-06-16,350.44,2
2022-06-17,-138.73,1
2022-06-20,-566.26,3
2022-06-21,563.07,3
2022-06-23,149.22,1
2022-06-24,-32.10,3
2022-06-27,-128.68,1
2022-06-28,-225.32,2
2022-06-29,-78.40,1
2022-07-01,491.87,2
2022-07-04,241.12,3
2022-07-06,351.51,1
2022-07-07,-184.25,2
2022-07-08,-171.85,1
2022-07-11,-118.00,3
2022-07-12,-107.93,3
2022-07-13,-707.74,2
2022-07-15,352.59,3
2022-07-19,188.92,4
2022-07-20,-156.57,4
2022-07-21,-129.24,2
2022-07-22,262.91,1
2022-07-27,50.23,2
2022-07-28,-139.05,1
